"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","528","Test Case 4: Logout User","Regression Automation Exercise Test Suite","Mon Jul 21 17:09:50 GMT 2025","passed","Mon Jul 21 17:09:51 GMT 2025","com.automationexercise.ui.login_tests.LoginUserTest","Login tests","com.automationexercise.ui.login_tests.LoginUserTest","testLogOutUser"
"","8040","testRegisterUserFlow","Regression Automation Exercise Test Suite","Mon Jul 21 17:09:58 GMT 2025","passed","Mon Jul 21 17:10:06 GMT 2025","com.automationexercise.ui.registration_tests.RegistrationUserTest","Registration tests","com.automationexercise.ui.registration_tests.RegistrationUserTest","testRegisterUserFlow"
"","119","Test Case 2: Login User with correct email and password","Regression Automation Exercise Test Suite","Mon Jul 21 17:09:54 GMT 2025","passed","Mon Jul 21 17:09:54 GMT 2025","com.automationexercise.ui.login_tests.LoginUserTest","Login tests","com.automationexercise.ui.login_tests.LoginUserTest","testLoginUserWithCorrectCredentials"
"","2917","Test Case 3: Login User with incorrect email and password","Regression Automation Exercise Test Suite","Mon Jul 21 17:09:55 GMT 2025","passed","Mon Jul 21 17:09:58 GMT 2025","com.automationexercise.ui.login_tests.LoginUserWithIncorrectCredentialsTest","Login tests","com.automationexercise.ui.login_tests.LoginUserWithIncorrectCredentialsTest","testLoginUserWithIncorrectCredentialsTest"
