"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3133","Test Case 3: Login User with incorrect email and password","Regression Automation Exercise Test Suite","Wed Aug 13 14:57:12 UTC 2025","passed","Wed Aug 13 14:57:15 UTC 2025","com.automationexercise.ui.login_tests.LoginUserWithIncorrectCredentialsTest","Login tests","com.automationexercise.ui.login_tests.LoginUserWithIncorrectCredentialsTest","loginUserWithIncorrectCredentialsTest"
"","10794","Test Case 1: Register User with valid details and verify account is created and deleted successfully","Regression Automation Exercise Test Suite","Wed Aug 13 14:57:06 UTC 2025","passed","Wed Aug 13 14:57:17 UTC 2025","com.automationexercise.ui.registration_tests.RegistrationUserTest","Registration tests","com.automationexercise.ui.registration_tests.RegistrationUserTest","registerUserFlowTest"
"","4685","Test Case 5: Register User with existing email","Regression Automation Exercise Test Suite","Wed Aug 13 14:57:01 UTC 2025","passed","Wed Aug 13 14:57:06 UTC 2025","com.automationexercise.ui.registration_tests.RegistrationUserTest","Registration tests","com.automationexercise.ui.registration_tests.RegistrationUserTest","RegisterWithExistingEmailTest"
"","198","Test Case 2: Login User with correct email and password","Regression Automation Exercise Test Suite","Wed Aug 13 14:57:06 UTC 2025","passed","Wed Aug 13 14:57:06 UTC 2025","com.automationexercise.ui.login_tests.LoginUserTest","Login tests","com.automationexercise.ui.login_tests.LoginUserTest","loginUserWithCorrectCredentialsTest"
"","8410","Test Case 12: Add Products in Cart","Regression Automation Exercise Test Suite","Wed Aug 13 14:57:05 UTC 2025","passed","Wed Aug 13 14:57:13 UTC 2025","com.automationexercise.ui.products_tests.AddToCartTests","Products tests","com.automationexercise.ui.products_tests.AddToCartTests","addProductsToCartTest"
"","1786","Test Case 4: Logout User","Regression Automation Exercise Test Suite","Wed Aug 13 14:57:10 UTC 2025","passed","Wed Aug 13 14:57:12 UTC 2025","com.automationexercise.ui.login_tests.LoginUserTest","Login tests","com.automationexercise.ui.login_tests.LoginUserTest","testLogOutUser"
